SK_ESCOLA,NO_ENTIDADE,CO_MUNICIPIO,SG_UF,NM_REGIAO,TP_LOCALIZACAO,IDHM,SEL_RECOMENDADO,SCORE_ADERENCIA_SELO
35001096,Centro Educacional Alfa 1097,3170206,MG,Sudeste,1,0.789,Kepler,57.23
35000885,Instituto de Ensino Integral 886,5208707,GO,Centro-Oeste,1,0.799,Kepler,59.69
35001028,Liceu Anchieta 1029,3303302,RJ,Sudeste,1,0.837,Uno,59.9
35000459,Centro Educacional Anchieta 460,1501402,PA,Norte,1,0.746,Kepler,58.57
35000120,Liceu Dom Bosco 121,2611606,PE,Nordeste,1,0.772,Kepler,64.87
35001001,Liceu Objetivo 1002,4118204,PR,Sul,1,0.75,Kepler,55.85
35000787,Instituto de Ensino Santo Agostinho 788,5300108,DF,Centro-Oeste,1,0.824,Uno,57.57
35000179,Academia Progresso 180,4316907,RS,Sul,1,0.784,Farias Brito,59.24
35000569,Escola Objetivo 570,3136702,MG,Sudeste,1,0.778,Kepler,67.87
35000736,Liceu Saber 737,4113700,PR,Sul,2,0.788,Uno,59.98
35000078,Colégio Santa Cruz 79,4314902,RS,Sul,1,0.805,Compartilha,60.52
35000977,Academia Pionero 978,2933307,BA,Nordeste,1,0.718,Farias Brito,62.42
35000382,Escola Fênix 383,2910800,BA,Nordeste,1,0.712,Farias Brito,73.59
35000599,Instituto de Ensino Futuro 600,3303302,RJ,Sudeste,2,0.837,Kepler,52.69
35001046,Liceu Vanguard 1047,2611101,PE,Nordeste,1,0.697,Farias Brito,65.09
35000114,Centro Educacional Pionero 115,4205407,SC,Sul,1,0.847,Compartilha,56.45
35000331,Instituto de Ensino Dom Bosco 332,3509502,SP,Sudeste,1,0.805,Uno,64.21
35000313,Colégio Alfa 314,4209102,SC,Sul,1,0.809,Uno,61.55
35000620,Liceu Pionero 621,2313500,CE,Nordeste,1,0.714,Farias Brito,63.91
35000727,Centro Educacional Futuro 728,3509502,SP,Sudeste,1,0.805,Kepler,61.98
35001120,Academia Elite 1121,2111300,MA,Nordeste,1,0.768,Compartilha,71.1
35000111,Instituto de Ensino Saber 112,4314902,RS,Sul,2,0.805,Compartilha,56.26
35000096,Liceu Objetivo 97,1501402,PA,Norte,1,0.746,Compartilha,57.66
35000224,Liceu Fênix 225,2313500,CE,Nordeste,1,0.714,Farias Brito,55.33
35001102,Liceu Pionero 1103,4304606,RS,Sul,1,0.782,Uno,57.84
35000388,Centro Educacional Nossa Senhora 389,2304202,CE,Nordeste,1,0.713,Farias Brito,70.37
35001186,Academia Integral 1187,2111300,MA,Nordeste,1,0.768,Kepler,59.49
35000123,Centro Educacional Dom Bosco 124,2304400,CE,Nordeste,1,0.754,Farias Brito,76.37
35000858,Centro Educacional Santa Cruz 859,3550308,SP,Sudeste,1,0.805,Kepler,56.25
35000004,Centro Educacional Santa Cruz 5,3301702,RJ,Sudeste,2,0.711,Farias Brito,63.14
35000063,Colégio Progresso 64,1501402,PA,Norte,1,0.746,Farias Brito,59.6
35001019,Escola Exponencial 1020,1302603,AM,Norte,1,0.737,Kepler,60.4
35000992,Instituto de Ensino Santa Cruz 993,3549805,SP,Sudeste,1,0.807,Uno,63.68
35000635,Colégio Exponencial 636,3136702,MG,Sudeste,1,0.778,Farias Brito,63.5
35000647,Academia Nossa Senhora 648,2933307,BA,Nordeste,2,0.718,Compartilha,55.76
35000638,Academia São José 639,4118204,PR,Sul,1,0.75,Kepler,62.18
35000117,Colégio Saber 118,2927408,BA,Nordeste,1,0.759,Farias Brito,62.12
35000272,Liceu Fênix 273,3136702,MG,Sudeste,1,0.778,Uno,57.16
35001180,Instituto de Ensino Integral 1181,2304202,CE,Nordeste,1,0.713,Farias Brito,67.17
35001058,Academia Saber 1059,3549805,SP,Sudeste,1,0.807,Kepler,61.35
35000989,Academia Vanguard 990,5002704,MS,Centro-Oeste,1,0.784,Farias Brito,58.23
35000962,Centro Educacional São José 963,3303302,RJ,Sudeste,1,0.837,Kepler,51.92
35000212,Academia Fênix 213,4316907,RS,Sul,1,0.784,Uno,63.45
35001013,Academia Nossa Senhora 1014,2611101,PE,Nordeste,1,0.697,Farias Brito,56.91
35000010,Academia Fênix 11,4113700,PR,Sul,1,0.788,Kepler,60.96
35000754,Escola Vanguard 755,5300108,DF,Centro-Oeste,1,0.824,Kepler,47.09
35000831,Instituto de Ensino Exponencial 832,3106200,MG,Sudeste,1,0.81,Kepler,63.18
35000760,Academia Fênix 761,3509502,SP,Sudeste,1,0.805,Uno,60.36
35001165,Academia Santo Agostinho 1166,4113700,PR,Sul,1,0.788,Kepler,70.78
35000060,Liceu Exponencial 61,5208707,GO,Centro-Oeste,1,0.799,Uno,64.14
35000352,Centro Educacional Exponencial 353,2609600,PE,Nordeste,1,0.735,Farias Brito,75.95
35000108,Colégio Vanguard 109,4106902,PR,Sul,1,0.823,Compartilha,58.47
35000513,Escola Progresso 514,2927408,BA,Nordeste,1,0.759,Kepler,59.41
35000653,Liceu Objetivo 654,2313500,CE,Nordeste,1,0.714,Farias Brito,70.24
35000444,Centro Educacional Objetivo 445,4205407,SC,Sul,1,0.847,Kepler,54.62
35000188,Escola Santa Cruz 189,2611101,PE,Nordeste,1,0.697,Farias Brito,61.76
35000525,Centro Educacional Progresso 526,1501402,PA,Norte,1,0.746,Farias Brito,57.53
35000462,Colégio Anchieta 463,3550308,SP,Sudeste,1,0.805,Uno,66.86
35000480,Centro Educacional Progresso 481,2927408,BA,Nordeste,1,0.759,Farias Brito,52.11
35000141,Colégio Futuro 142,4106902,PR,Sul,1,0.823,Uno,59.24
35000239,Escola Anchieta 240,3136702,MG,Sudeste,1,0.778,Farias Brito,63.17
35000266,Colégio Alfa 267,3549805,SP,Sudeste,1,0.807,Uno,61.73
35000045,Colégio Albert Einstein 46,4314902,RS,Sul,1,0.805,Kepler,57.76
35000447,Colégio Vanguard 448,2927408,BA,Nordeste,1,0.759,Farias Brito,62.81
35000263,Instituto de Ensino Santa Cruz 264,5002704,MS,Centro-Oeste,1,0.784,Uno,65.05
35000132,Colégio Saber 133,3550308,SP,Sudeste,1,0.805,Uno,69.37
35000778,Colégio Santa Cruz 779,2910800,BA,Nordeste,1,0.712,Farias Brito,57.02
35001189,Instituto de Ensino Fênix 1190,3509502,SP,Sudeste,1,0.805,Kepler,62.98
35000340,Academia Santa Cruz 341,4113700,PR,Sul,1,0.788,Kepler,68.62
35000662,Academia Dom Bosco 663,3549805,SP,Sudeste,1,0.807,Kepler,63.2
35000397,Escola Alfa 398,3509502,SP,Sudeste,1,0.805,Uno,72.21
35001129,Centro Educacional Futuro 1130,3170206,MG,Sudeste,1,0.789,Uno,75.4
35000790,Colégio Integral 791,2111300,MA,Nordeste,1,0.768,Farias Brito,64.84
35000221,Instituto de Ensino Santo Agostinho 222,2611101,PE,Nordeste,1,0.697,Farias Brito,64.16
35000626,Escola Santa Cruz 627,5002704,MS,Centro-Oeste,1,0.784,Uno,59.89
35000007,Colégio Integral 8,3170206,MG,Sudeste,1,0.789,Uno,70.14
35001138,Escola São José 1139,4209102,SC,Sul,1,0.809,Compartilha,57.67
35000337,Escola Nossa Senhora 338,3170206,MG,Sudeste,1,0.789,Kepler,60.2
35000206,Instituto de Ensino Objetivo 207,3136702,MG,Sudeste,1,0.778,Kepler,61.17
35000730,Liceu Fênix 731,3301702,RJ,Sudeste,1,0.711,Farias Brito,69.98
35000876,Academia Integral 877,2927408,BA,Nordeste,1,0.759,Farias Brito,62.17
35000700,Academia São José 701,3170206,MG,Sudeste,2,0.789,Kepler,61.46
35000376,Colégio Santo Agostinho 377,4304606,RS,Sul,1,0.782,Uno,60.14
35000105,Colégio Vanguard 106,3106200,MG,Sudeste,1,0.81,Uno,60.14
35000781,Escola Fênix 782,2609600,PE,Nordeste,1,0.735,Kepler,56.57
35000403,Centro Educacional São José 404,3170206,MG,Sudeste,1,0.789,Kepler,61.94
35001022,Liceu Exponencial 1023,5002704,MS,Centro-Oeste,1,0.784,Uno,68.92
35000400,Instituto de Ensino Pionero 401,3301702,RJ,Sudeste,1,0.711,Farias Brito,60.0
35000215,Academia Marista 216,4202404,SC,Sul,1,0.806,Uno,66.87
35001108,Colégio Anchieta 1109,2910800,BA,Nordeste,1,0.712,Farias Brito,65.23
35000328,Escola Anchieta 329,2111300,MA,Nordeste,1,0.768,Farias Brito,65.15
35000245,Escola Albert Einstein 246,4316907,RS,Sul,1,0.784,Uno,62.94
35000090,Instituto de Ensino Santa Cruz 91,2304400,CE,Nordeste,1,0.754,Kepler,58.58
35000852,Liceu Albert Einstein 853,5208707,GO,Centro-Oeste,1,0.799,Compartilha,63.36
35000066,Instituto de Ensino Exponencial 67,3550308,SP,Sudeste,1,0.805,Uno,65.37
35000194,Liceu Albert Einstein 195,1302603,AM,Norte,2,0.737,Kepler,60.51
35000900,Colégio São José 901,4106902,PR,Sul,1,0.823,Compartilha,60.06
35000980,Liceu Marista 981,2611101,PE,Nordeste,1,0.697,Farias Brito,62.99
35000483,Escola Progresso 484,2611606,PE,Nordeste,1,0.772,Compartilha,64.77
35000504,Instituto de Ensino Nossa Senhora 505,4106902,PR,Sul,2,0.823,Kepler,58.84
35000001,Escola Santa Cruz 2,3509502,SP,Sudeste,2,0.805,Uno,67.95
35000706,Instituto de Ensino Marista 707,4304606,RS,Sul,2,0.782,Uno,70.73
35000849,Instituto de Ensino Fênix 850,2304400,CE,Nordeste,1,0.754,Farias Brito,72.54
35000581,Escola Nossa Senhora 582,2933307,BA,Nordeste,1,0.718,Kepler,55.2
35001010,Instituto de Ensino Alfa 1011,2933307,BA,Nordeste,1,0.718,Farias Brito,70.27
35000602,Liceu São José 603,3136702,MG,Sudeste,1,0.778,Farias Brito,65.97
35000361,Liceu Santo Agostinho 362,2111300,MA,Nordeste,1,0.768,Kepler,60.36
35000236,Instituto de Ensino Pionero 237,3303302,RJ,Sudeste,1,0.837,Compartilha,49.46
35000927,Liceu Santa Cruz 928,3304557,RJ,Sudeste,1,0.799,Uno,58.41
35000197,Academia Nossa Senhora 198,5002704,MS,Centro-Oeste,1,0.784,Uno,59.53
35000891,Instituto de Ensino Marista 892,3550308,SP,Sudeste,2,0.805,Uno,66.48
35000069,Colégio Alfa 70,3304557,RJ,Sudeste,1,0.799,Compartilha,67.85
35001031,Colégio Elite 1032,3136702,MG,Sudeste,1,0.778,Kepler,64.32
35000986,Instituto de Ensino Albert Einstein 987,1302603,AM,Norte,1,0.737,Farias Brito,67.18
35000611,Instituto de Ensino Progresso 612,4202404,SC,Sul,1,0.806,Uno,62.66
35000200,Colégio Vanguard 201,3549805,SP,Sudeste,1,0.807,Kepler,59.37
35000531,Academia Fênix 532,3304557,RJ,Sudeste,1,0.799,Kepler,60.78
35000888,Instituto de Ensino Vanguard 889,1501402,PA,Norte,1,0.746,Farias Brito,64.57
35000998,Centro Educacional Futuro 999,3136702,MG,Sudeste,1,0.778,Uno,59.76
35000641,Liceu Marista 642,4316907,RS,Sul,1,0.784,Farias Brito,62.37
