SK_ESCOLA,CO_MUNICIPIO,IN_INTERNET,IN_BANDA_LARGA,QT_COMP_ALUNO,IN_EQUIP_LOUSA_DIGITAL,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_BIBLIOTECA_SALA_LEITURA,IN_INFANTIL,IN_FUNDAMENTAL,IN_MEDIO,IN_INTEGRAL,IN_AUDITORIO,IN_QUADRA_ESPORTES,QT_SALAS_UTILIZADAS,QT_MAT_BAS,QT_DOC_BAS,PROP_DOCENTES_SUPERIOR,SK_DATA
35000000,3550308,1,1,0.38,0,1,1,1,0,1,1,0,1,1,25,858,57,0.98,20260101
35000001,3509502,1,1,0.482,0,1,1,1,0,1,1,1,1,1,15,859,57,0.96,20260101
35000002,3549805,1,1,0.55,0,1,1,1,0,1,0,1,0,1,13,569,35,0.87,20260101
35000003,3304557,1,1,0.125,0,0,0,0,1,1,0,0,0,0,10,94,5,0.73,20260101
35000004,3301702,1,1,0.454,1,1,0,1,1,1,1,0,1,1,17,711,44,0.83,20260101
35000005,3303302,1,1,0.362,1,1,1,1,0,1,1,1,1,1,27,440,29,0.93,20260101
35000006,3106200,1,1,0.547,1,1,0,1,1,1,0,1,1,1,19,480,30,0.9,20260101
35000007,3170206,1,1,0.398,1,1,1,1,1,1,1,0,1,1,12,350,21,0.95,20260101
35000008,3136702,1,1,0.611,1,1,0,1,0,1,0,1,0,1,13,471,29,0.82,20260101
35000009,4106902,1,1,0.46,1,1,1,1,1,1,1,1,1,1,30,1795,128,0.95,20260101
35000010,4113700,0,0,0.066,0,1,0,0,0,1,0,0,0,0,9,196,10,0.62,20260101
35000011,4118204,0,0,0.048,0,0,0,1,1,1,0,0,0,1,6,172,9,0.54,20260101
35000012,4314902,1,1,0.394,0,1,1,1,1,1,1,1,1,1,25,2661,190,0.87,20260101
35000013,4304606,1,0,0.124,0,0,0,1,1,1,0,0,0,0,6,318,17,0.65,20260101
35000014,4316907,1,1,0.372,0,1,1,1,1,1,1,1,1,1,42,1640,117,0.94,20260101
35000015,4205407,1,1,0.092,0,0,0,0,1,1,0,1,0,1,4,292,16,0.59,20260101
35000016,4209102,1,1,0.225,0,1,1,1,0,1,1,1,1,1,34,653,43,0.9,20260101
35000017,4202404,1,1,0.105,0,0,0,1,1,1,0,0,0,1,10,254,14,0.66,20260101
35000018,2927408,1,1,0.275,1,1,1,1,0,1,1,1,1,1,33,837,55,0.98,20260101
35000019,2910800,1,1,0.596,0,1,1,1,0,1,0,1,0,1,21,407,25,0.94,20260101
35000020,2933307,1,1,0.366,1,1,1,1,1,1,1,1,1,1,57,2139,152,0.89,20260101
35000021,2611606,1,1,0.11,0,0,0,0,1,1,0,0,0,0,5,332,18,0.71,20260101
35000022,2609600,1,1,0.498,1,1,0,1,0,1,1,0,1,1,13,570,35,0.81,20260101
35000023,2611101,1,1,0.26,1,1,1,1,1,1,1,1,1,1,46,1050,75,0.91,20260101
35000024,2304400,1,0,0.037,0,0,0,1,1,1,0,0,0,0,7,106,5,0.67,20260101
35000025,2304202,1,1,0.511,1,1,0,1,0,1,1,0,1,1,16,376,23,0.9,20260101
35000026,2313500,1,1,0.47,0,1,0,1,1,1,1,1,1,1,14,527,32,0.91,20260101
35000027,5208707,0,0,0.064,0,0,0,0,1,1,0,0,0,0,5,98,5,0.59,20260101
35000028,5300108,1,1,0.56,0,1,1,1,1,1,0,1,1,1,43,2631,187,0.96,20260101
35000029,1302603,1,0,0.096,0,1,0,1,1,1,0,0,0,0,8,327,18,0.6,20260101
35000030,1501402,0,0,0.033,0,0,0,0,0,1,0,0,0,1,5,174,9,0.57,20260101
35000031,2111300,1,1,0.463,1,1,1,1,0,1,1,1,1,1,18,793,52,0.94,20260101
35000032,5002704,1,1,0.238,0,1,1,1,0,1,1,1,1,1,19,1179,78,0.94,20260101
35000033,3550308,1,1,0.127,0,0,0,1,0,1,0,1,0,0,10,343,19,0.74,20260101
35000034,3509502,0,0,0.098,0,0,0,0,1,1,1,0,0,1,5,282,15,0.51,20260101
35000035,3549805,1,1,0.491,1,1,1,1,0,1,1,1,1,1,31,652,43,0.98,20260101
35000036,3304557,1,1,0.497,0,1,1,1,1,1,0,1,1,1,43,2519,179,0.96,20260101
35000037,3301702,1,1,0.514,1,1,1,1,1,1,0,1,1,1,51,1713,122,0.97,20260101
35000038,3303302,1,0,0.035,0,0,0,1,1,1,1,1,0,0,4,176,9,0.74,20260101
35000039,3106200,1,1,0.435,1,1,1,1,1,1,0,1,1,1,59,2682,191,0.98,20260101
35000040,3170206,1,1,0.336,1,1,1,1,0,1,1,1,1,1,30,870,58,0.9,20260101
35000041,3136702,1,0,0.104,0,0,0,0,1,1,0,0,0,0,10,204,11,0.57,20260101
35000042,4106902,1,1,0.143,0,1,0,1,1,1,0,1,0,0,10,348,19,0.69,20260101
35000043,4113700,1,1,0.54,1,1,1,1,1,1,1,0,0,1,16,255,15,0.9,20260101
35000044,4118204,1,1,0.455,1,1,1,1,1,1,1,1,1,1,43,2168,154,0.88,20260101
35000045,4314902,0,0,0.134,0,1,0,0,0,1,0,0,0,0,6,327,18,0.7,20260101
35000046,4304606,0,0,0.118,0,0,0,1,0,1,0,0,0,0,5,345,19,0.64,20260101
35000047,4316907,1,1,0.805,1,1,1,1,1,1,1,0,1,1,10,589,36,0.87,20260101
35000048,4205407,1,0,0.03,0,0,0,0,0,1,0,0,0,0,11,340,18,0.72,20260101
35000049,4209102,1,1,0.267,1,1,1,1,0,1,1,1,1,1,24,933,62,0.91,20260101
35000050,4202404,1,1,0.11,0,0,0,1,0,1,0,1,0,1,8,85,4,0.72,20260101
35000051,2927408,1,1,0.812,1,1,1,1,1,1,1,0,0,1,12,256,16,0.9,20260101
35000052,2910800,1,0,0.072,0,0,0,1,1,1,0,1,0,0,9,84,4,0.72,20260101
35000053,2933307,1,1,0.35,0,1,1,1,0,1,1,1,1,1,16,1022,68,0.97,20260101
35000054,2611606,1,1,0.094,0,0,0,1,1,1,0,0,0,0,10,171,9,0.54,20260101
35000055,2609600,1,1,0.148,0,0,0,0,1,1,1,1,0,0,11,121,6,0.73,20260101
35000056,2611101,1,1,0.322,1,1,1,1,1,1,1,1,1,1,44,1224,87,0.95,20260101
35000057,2304400,1,0,0.083,0,0,0,0,0,1,0,0,0,1,8,227,12,0.7,20260101
35000058,2304202,1,1,0.379,1,1,1,1,0,1,1,1,1,1,31,980,65,0.97,20260101
35000059,2313500,1,1,0.313,0,1,1,1,1,1,1,1,1,1,46,2855,203,0.95,20260101
35000060,5208707,1,1,0.448,0,1,1,1,0,1,1,0,1,1,28,809,53,0.98,20260101
35000061,5300108,1,1,0.404,1,1,1,1,1,1,1,1,1,1,57,2046,146,0.91,20260101
35000062,1302603,1,1,0.616,0,1,0,1,1,1,1,0,1,1,19,697,43,0.83,20260101
35000063,1501402,1,1,0.849,1,1,1,1,0,1,1,0,1,1,14,372,23,0.91,20260101
35000064,2111300,1,1,0.295,1,1,1,1,1,1,1,1,1,1,29,3094,221,0.9,20260101
35000065,5002704,1,1,0.363,0,1,1,1,0,1,1,1,1,1,25,653,43,0.98,20260101
35000066,3550308,1,1,0.474,0,1,1,1,0,1,1,0,1,1,15,1022,68,0.97,20260101
35000067,3509502,1,1,0.527,0,1,1,1,1,1,1,1,1,1,52,2928,209,0.91,20260101
35000068,3549805,1,1,0.407,1,1,1,1,1,1,0,1,1,1,17,648,40,0.86,20260101
35000069,3304557,1,1,0.252,1,1,1,1,1,1,1,1,1,1,49,2625,187,0.97,20260101
35000070,3301702,1,1,0.455,0,1,1,1,1,1,1,1,1,1,48,1024,73,0.91,20260101
35000071,3303302,1,1,0.283,0,1,1,1,0,1,1,0,1,1,31,483,32,0.94,20260101
35000072,3106200,1,1,0.648,0,1,1,1,1,1,0,0,0,1,22,726,45,0.87,20260101
35000073,3170206,1,1,0.336,1,1,1,1,0,1,1,1,1,1,32,621,41,0.95,20260101
35000074,3136702,1,1,0.581,1,1,1,1,1,1,1,1,1,1,58,3134,223,0.98,20260101
35000075,4106902,0,0,0.05,0,0,0,0,1,1,0,0,0,1,10,323,17,0.52,20260101
35000076,4113700,1,1,0.389,1,1,1,1,1,1,1,1,1,1,55,1822,130,0.97,20260101
